"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-20c-no9.dat",3.1193,1,131.6,7367.3587,0.676638738299639,8.7943,0.0489,146.2222,0.9,0.2817,0.1276,0.1393,39.1585,0.1901,0.5813,48.3003,7.9177,15963323.6118,277.9349,0.4234,362.847216110832,310.25399961318,317.39199058181,292.5790147886,523.57787096083,523.57787096083,523.57787096083,365.715152809345,317.725636131727,405.834882968328
"10d-40c-no0.dat",3.2871,1,193.7,6642.3071,0.676590814852923,10.892,0.0348,215.2222,0.9,0.2136,0.1322,0.1387,42.3403,0.1904,0.5056,59.1591,8.176,46439378.0106,398.8921,0.5358,303.414742562288,372.529366866746,174.303344563861,264.7518784408,438.143982273151,437.845231810551,437.518015449808,301.223393591561,261.992480601604,204.816027228258
"10d-40c-no1.dat",3.3596,1,228.9,6533.8931,0.676579756489111,10.237,0.0303,254.3333,0.9,0.2137,0.1373,0.1438,36.9333,0.1923,0.5121,58.4901,8.2245,59433811.9708,462.8194,0.4852,350.327968145212,434.764158961911,231.120036707085,212.899318888145,484.1271548665,478.804182573907,487.899476033339,198.739373715231,294.98963430252,158.018819955756
"10d-40c-no2.dat",3.3983,1,250.2,8020.0413,0.67656276220982,11.2487,0.0289,278,0.9,0.1958,0.1381,0.1461,38.6647,0.1901,0.4951,58.3279,8.261,69358897.4539,500.8406,0.4839,330.932322321652,452.994733091085,274.161518585939,272.637748895427,526.87486702087,533.144236512049,533.432571418746,205.868715048555,334.091717112478,193.472684291459
"10d-40c-no3.dat",3.3556,1,226.8,7388.2075,0.676630693610275,8.811,0.0278,252,0.9,0.2096,0.1391,0.1477,35.5176,0.1968,0.5073,54.0092,7.9519,59744613.6677,484.0777,0.5036,303.670751928805,345.275601679804,253.484158125944,157.924736519602,427.074721864756,425.851680138887,431.426740766095,1.74575975340415,286.508558682555,214.461894054995
"10d-40c-no4.dat",3.4325,1,270.7,7344.97,0.676587918010063,10.4822,0.0266,300.7778,0.9,0.2071,0.1366,0.1508,33.5324,0.1984,0.4913,56.5359,8.1509,90493144.4936,590.2881,0.5411,345.494475613615,432.628312031534,289.022200800942,324.660064998865,549.372943690526,542.360655538305,550.300667040473,94.5736264609128,282.701629381759,259.210202244526
"10d-40c-no5.dat",3.372,1,235.5,6340.6168,0.676558632467156,10.7515,0.0314,261.6667,0.9,0.2218,0.1303,0.1442,37.9475,0.1867,0.4993,60.2339,8.1952,59626922.6616,463.5468,0.5335,348.130509064314,416.276143393345,197.379977027872,387.430644282047,511.071167757623,511.48987932527,510.850803170048,307.552391920029,333.314350734676,205.396867834746
"10d-40c-no6.dat",3.4252,1,266.2,7770.5959,0.676569187947175,10.1519,0.0303,295.7778,0.9,0.2312,0.1317,0.1488,36.2032,0.1931,0.5136,56.2166,8.2909,84696988.2878,559.0727,0.5098,514.039692994027,481.813719099177,225.608750710621,189.190351779134,557.791721116888,547.140630548767,557.412254701769,194.891026694468,345.477194365012,97.9887197388965
"10d-40c-no7.dat",3.3345,1,216,6844.0351,0.676606542126294,9.4583,0.0306,240,0.9,0.2218,0.1399,0.1422,38.975,0.1944,0.5,55.3852,8.2336,53789522.8682,456.0695,0.546,347.756404523287,351.86430108583,257.080396179212,255.62658089401,432.394137423851,433.67664770281,434.344745029439,135.60977081602,299.074847858927,261.614409237247
"10d-40c-no8.dat",3.3629,1,230.6,7541.7192,0.676587058100547,9.7516,0.0307,256.2222,0.9,0.218,0.134,0.1462,41.2542,0.1909,0.4922,56.0181,8.1194,60566625.4122,474.8535,0.5217,365.240558003102,381.403530791303,282.095082704378,302.390416910712,475.667779239835,488.431313679151,491.973962273267,139.079295498355,283.386727090087,210.696422147351
"10d-40c-no9.dat",3.3746,1,236.9,9027.4626,0.676637546762571,11.1177,0.0264,263.2222,0.9,0.2064,0.1417,0.1485,35.6771,0.1958,0.5208,54.6047,8.3304,64530699.3635,488.884,0.4831,367.163731018716,379.822948605023,271.078636751704,300.95224509393,507.169512645172,497.868613489033,505.627045352291,281.149157528604,301.313381823387,262.670349225164
"10d-4c-no0.dat",3.1103,1,128.9,3214.0548,0.676773340625588,2.87,7e-04,143.2222,0.9,0.3575,0.1945,0.1609,59.2565,0.194,0.6138,42.9446,6.4812,19383200.1426,259.9389,0.4607,517.368290517892,548.121741199439,299.304668673774,2.83301210489877,548.049489660046,332.954591974712,548.049489660046,3.71422448662855,526.986176375884,496.682711477085
"10d-4c-no1.dat",2.9814,1,95.8,2857.622,0.676827162253358,2.4775,3e-04,106.4444,0.9,0.3191,0.1945,0.158,63.8976,0.1926,0.6481,47.3657,6.3982,10721224.9914,190.4443,0.4707,481.630866190967,157.363013373192,480.080592419339,3.42450320399206,477.389477147482,361.011244833555,479.524536289978,3.4387711759788,441.457743971098,456.760150688659
"10d-4c-no2.dat",2.9232,1,83.8,1764.9502,0.676731575872597,1.8917,0.0039,93.1111,0.9,0.3284,0.1728,0.1541,64.5825,0.1937,0.6145,54.3389,5.8896,10080308.1092,168.2858,0.5331,316.026500344191,315.727098991523,270.102407886415,3.18074623356521,201.415877755696,236.125725281202,311.603322646924,3.81948769344001,238.252553163436,299.024340441543
"10d-4c-no3.dat",3.1199,1,131.8,3276.7065,0.676736766533162,2.5419,0.0021,146.4444,0.9,0.2819,0.1736,0.1576,51.3623,0.1935,0.6089,48.214,6.1012,17371694.8394,264.6365,0.5111,415.655838667594,415.507973485533,368.885918014633,3.03947231661467,198.849194286871,186.25894665317,406.740239975987,3.0194251680704,377.115274397591,364.445993195713
"10d-4c-no4.dat",2.9699,1,93.3,2633.1001,0.676768667362057,1.8609,5e-04,103.6667,0.9,0.3573,0.1938,0.1553,54.0985,0.195,0.6071,48.6057,5.7542,9827902.3438,187.5253,0.4934,280.933928242876,391.940158165971,324.578354120774,1.97855106423597,345.288008680589,235.595587705816,387.287320316656,2.97800852247725,267.089546044517,277.828879709677
"10d-4c-no5.dat",3.0565,1,113.9,3053.6656,0.676776290441777,2.9191,3e-04,126.5556,0.9,0.3235,0.1943,0.1653,64.4846,0.1995,0.5976,44.3996,6.1594,14134576.7908,237.7858,0.4943,443.048879642587,442.062616173832,262.814328831096,2.54557079674227,330.760675009715,273.062143081481,440.873408702968,2.85178155004554,373.321288001432,389.251033678592
"10d-4c-no6.dat",2.9899,1,97.7,2491.8974,0.676737368832654,2.4318,0.002,108.5556,0.9,0.3068,0.184,0.1537,57.9823,0.196,0.5923,48.1614,5.7897,10859542.3024,199.0674,0.5175,290.692660454598,370.533896855024,219.746345330429,2.16166869637589,222.002487532578,143.744570178703,368.25523636776,2.7937896424652,265.945695059426,280.89752064536
"10d-4c-no7.dat",3.1708,1,148.2,3414.777,0.676704883845817,2.4336,0.0016,185.25,0.8,0.3563,0.191,0.1472,47.8328,0.1861,0.6799,50.2532,7.5671,22861807.3724,282.9713,0.5672,901.732717395355,901.51936242513,510.989165307641,195.274727619686,724.721320005792,900.487598018095,901.01675927804,2.65214325572341,470.449431756561,901.560225654345
"10d-4c-no8.dat",2.985,1,96.6,2223.3143,0.676719096662512,2.2637,0.0015,107.3333,0.9,0.273,0.1824,0.1534,58.861,0.1934,0.6019,49.1546,5.6283,11251166.4281,194.3526,0.4951,267.931153002686,422.500638687928,262.32085756222,2.12166386821298,243.310370359789,215.361156717919,419.432678352083,3.6516994621772,245.161965811799,396.039785656768
"10d-4c-no9.dat",3.073,1,118.3,2092.9939,0.676691676796707,1.8208,0.0015,131.4444,0.9,0.3066,0.1774,0.1575,61.7954,0.1906,0.6684,56.6699,5.3403,17316346.8119,231.8013,0.487,429.462556416629,429.22854853815,375.088621890441,2.00919699767705,373.113409352942,346.624229215411,425.070220487902,2.68172548390681,359.97439946935,370.824410977278
"2d-10c-no0.dat",3.473,0.301,1486,27.1526,0.676563258562655,94.7976,0.001,1486,1,0.5675,0.1526,0.1801,5.7629,0.1777,0.8034,10.8436,372.743,818959.5073,565.4182,0.5038,2938.31854421463,4463.87193572106,3773.6535316335,747.542747649544,6504.85874988356,6202.88391465491,6070.19232543081,5918.76842488371,5197.21736160868,4613.2321084939
"2d-10c-no1.dat",3.4023,0.301,1262.5,193.6764,0.67661216383011,112.4903,0.0042,1262.5,1,0.5672,0.184,0.1603,8.4666,0.1796,0.7962,9.9965,630.9364,1250468.0464,505.8104,0.5413,3965.66459564995,5546.04906985517,3371.43099639377,336.235753050717,2735.08240076155,4724.85532380881,4801.51282704252,3795.99321850105,3017.78278162042,3489.9979402202
"2d-10c-no2.dat",3.4876,0.301,1536.5,423.0761,0.676565760645365,151.3574,0,1536.5,1,0.6577,0.1754,0.2017,6.8471,0.1829,0.8262,12.1575,651.147,1403446.5457,623.2757,0.384,8699.94096723312,11957.2353949908,4986.21776015904,741.440460558489,5114.93367706503,6821.66346633968,9085.98244478413,6697.76616793914,4531.14636677587,7570.78634053549
"2d-10c-no3.dat",3.5262,0.301,1679.5,496.8316,0.676530285205265,236.1748,0,1679.5,1,0.531,0.2122,0.1725,6.3137,0.1872,0.7987,10.5814,686.9597,925410.1029,698.4214,0.5605,7900.13956400657,8563.97451041672,6614.53640976712,1504.06554048817,8112.86802121733,7228.11088051602,6658.12734272897,4493.27677658117,6712.5649276608,9005.90373265922
"2d-10c-no4.dat",3.5173,0.301,1645.5,183.3464,0.676585740298284,124.8025,0.0033,1645.5,1,0.698,0.1596,0.1665,7.019,0.1803,0.8097,10.0291,626.7592,764512.9214,646.0526,0.4286,8262.83254139556,7725.82508789629,6085.6501831138,827.178972006946,6764.45487814393,5925.86730522123,7097.86257001629,5188.36293950259,3839.57406149799,7736.96603508314
"2d-10c-no5.dat",3.5599,0.301,1815,48.297,0.676588708981686,167.2791,2e-04,1815,1,0.7335,0.1856,0.1826,14.4266,0.177,0.8827,10.9812,765.6859,1302422.1007,741.9055,0.561,8308.93647017604,7783.12626157544,3021.08597651878,8.15935634000178,3908.56356802429,4600.54337149492,7232.92693303798,3506.43002945849,5869.51031525197,9100.28394435035
"2d-10c-no6.dat",3.5325,0.301,1704,66.577,0.676614020073605,96.1482,0.0026,1704,1,0.5758,0.1698,0.1694,9.1731,0.176,0.8092,10.3234,712.4282,1817727.0852,672.7621,0.4808,4194.23054673082,4091.44292334855,740.953827293856,4.13446307476597,3947.28229781931,3329.99561827349,3997.98277489118,2850.58995568204,3030.71696847195,4242.93416070784
"2d-10c-no7.dat",3.4038,0.301,1267,433.0298,0.676606829488461,110.5555,0.0012,1267,1,0.6213,0.1871,0.1783,9.4512,0.176,0.8122,11.2026,811.5412,1789947.4994,480.1452,0.3143,5653.25899216676,3214.8937788556,4688.38980367401,781.831542627851,4624.44030831546,4579.17757999498,4541.91413676934,3291.61616003116,4349.96937316337,6397.67332363871
"2d-10c-no8.dat",3.4518,0.301,1415,283.1979,0.6765869557822,203.2103,0,1415,1,0.7287,0.1897,0.1981,7.9666,0.1796,0.8237,10.9094,851.968,374042.9603,557.8069,0.5563,7307.58844605117,6253.64981843678,6311.0684086028,8.73913808367604,4236.56071734473,6432.25340430312,5884.80131244358,5454.59990327083,6272.05174095358,7419.75240090113
"2d-10c-no9.dat",3.5539,0.301,1790,92.7729,0.676543909510047,207.7096,0,1790,1,0.5454,0.1837,0.181,5.9482,0.1778,0.8237,11.6969,786.2712,483752.6732,709.113,0.5057,9354.7744153852,5621.16242428271,10770.2078714794,570.909858851428,8698.85746910095,8703.95749651174,10442.45838086,7819.7444303979,8164.33628835683,9343.59851694068
"2d-20c-no0.dat",3.181,0.301,758.5,109.2867,0.676589290236979,48.3451,0,758.5,1,0.6076,0.1919,0.1843,5.407,0.1696,0.7953,11.9418,359.4942,63265.7786,274.9094,0.4476,4521.952536528,5888.91273314778,1991.53636188699,3806.60679068881,4700.62707480935,4178.28646469148,5857.18994162169,4960.27740125478,4382.95065810482,4761.11529911484
"2d-20c-no1.dat",3.0903,0.301,615.5,16.9623,0.67661191129972,34.3269,5e-04,615.5,1,0.5393,0.1772,0.1685,7.9653,0.1718,0.8335,10.1106,339.9658,134379.4632,225.6193,0.4731,2322.39745751551,2091.79243887589,1669.69133469182,1895.9229866395,2699.94032059016,3494.9354360282,4039.26200035395,3417.9085916311,3035.63052358126,3109.67536567121
"2d-20c-no2.dat",3.035,0.301,542,12.7314,0.676620765102258,30.502,0.0076,542,1,0.6636,0.16,0.1603,6.666,0.1698,0.8196,9.7654,237.2127,54553.6747,196.4464,0.6254,3038.02930915436,1563.41934363071,1162.78757887334,710.793308594755,2836.44595753749,2784.84846960646,2777.33079708257,2593.02075993286,2191.43587953007,2613.24448059125
"2d-20c-no3.dat",3.0527,0.301,564.5,28.3108,0.676590814127261,41.529,2e-04,564.5,1,0.594,0.1852,0.1688,5.8292,0.1774,0.8023,11.3496,306.6234,54316.6481,226.4376,0.402,2256.8020850654,3060.26879432714,938.52695604324,1581.83388383647,2514.73269183146,2965.87272858623,3381.93081079923,3003.77217668182,1876.82270600675,2958.93610832655
"2d-20c-no4.dat",3.1602,0.301,723,73.2844,0.676590439685649,43.5315,0,723,1,0.5306,0.176,0.1924,5.3679,0.1665,0.8087,10.6104,366.1558,153016.4398,272.527,0.5697,1747.39328854504,3698.56921115746,1954.23233668013,2038.78057577994,2544.641989323,3799.89781425227,4167.79856148937,2304.16243661756,2921.80288346029,2847.2714907447
"2d-20c-no5.dat",3.0711,0.301,589,22.563,0.676619122203402,36.9157,2e-04,589,1,0.6178,0.1613,0.1585,6.0383,0.1693,0.7961,10.4215,334.9447,50877.6112,216.6572,0.4519,3572.63677809929,2151.43905813945,1866.49684197753,1359.0112004325,3460.18465703811,3357.68894836076,3248.96794396236,2725.36053345322,3098.1662314558,3563.16692512019
"2d-20c-no6.dat",3.0708,0.301,588.5,35.0776,0.676587594364794,42.0465,0,588.5,1,0.5477,0.1794,0.1856,4.8452,0.1689,0.8264,12.1353,328.4195,93985.6519,216.8923,0.5959,2198.66687296103,2437.02521551167,2077.2766234924,1153.2327766492,2502.80847538704,2593.21831191515,3791.82260554068,2842.90619426154,1938.23552852765,3035.96081153358
"2d-20c-no7.dat",3.0924,0.301,618.5,8.3438,0.676598778993801,29.7017,3e-04,618.5,1,0.531,0.1728,0.1841,5.8052,0.1684,0.8024,10.9405,360.3106,43025.5495,224.5993,0.4868,2532.34933161417,2477.85308482903,2232.98115530293,1471.55876145053,3366.07368204419,3497.8067757819,3353.41106838669,3012.14784329701,2379.15844964099,2980.12075790551
"2d-20c-no8.dat",3.0615,0.301,576,66.1007,0.67662274107999,31.0349,1e-04,576,1,0.5888,0.1674,0.1856,5.4978,0.1656,0.808,11.0772,379.065,39722.1823,206.5055,0.4662,2391.43162991129,2003.35029463468,1848.91319177881,1686.26050159803,3020.81884347238,3628.32483574008,3983.32442543421,3245.97121279878,3107.76763064759,3303.6741590441
"2d-20c-no9.dat",3.0813,0.301,603,9.4145,0.676587537037493,34.5385,0,603,1,0.5284,0.1685,0.1877,5.9775,0.1823,0.8039,12.1324,339.9301,67359.1727,240.4955,0.63,1715.1595544625,3239.94880050846,1193.89923658653,1991.28092788795,3172.52617363263,3518.12493210231,3995.11082999532,3316.20842764869,1093.92041248813,3400.18357660141
"2d-40c-no0.dat",3.4087,0.301,1281.5,87.4862,0.676579746329842,57.0217,0,1281.5,1,0.5829,0.19,0.1779,4.5356,0.1653,0.7953,11.5157,485.8677,237926.468,447.1276,0.4407,6192.2395413078,5438.66076498246,1837.2313874916,1304.69155809976,6450.42160491741,5920.49959069256,7599.74712540372,6127.70363227998,5216.41465125536,7332.02857484963
"2d-40c-no1.dat",3.3454,0.301,1107.5,10.2397,0.676567884658153,51.3575,0,1107.5,1,0.5352,0.1831,0.1762,3.9068,0.1649,0.8076,11.3362,477.8564,156958.8793,388.9589,0.5315,4629.04574086729,4154.71425590288,2516.93748118223,1062.66535537425,4752.09139284912,5286.03922733933,5965.80715263994,3772.63150947954,3806.39934900711,4545.11594765488
"2d-40c-no2.dat",3.3316,0.301,1073,67.4691,0.676580980680971,55.1385,0,1073,1,0.6202,0.1842,0.1782,3.7844,0.1703,0.8,11.5558,456.5295,215759.5738,395.8293,0.4992,3378.75104531545,3118.94038831066,2618.06884120712,454.940909260202,3566.21686975761,4869.40002407472,5942.26489827008,3309.24363174518,2488.80372551924,3893.29822661418
"2d-40c-no3.dat",3.3591,0.301,1143,47.9331,0.676569018142258,44.9449,0,1143,1,0.5157,0.1808,0.177,4.2134,0.1674,0.8099,11.3815,488.3165,211404.1781,414.9983,0.5017,4992.24506879716,4351.00480568031,2053.58142032645,1042.36494259816,4875.30423524994,4409.91142500213,5457.52032493023,3794.55507509483,3491.88927203706,4827.53831131249
"2d-40c-no4.dat",3.3533,0.301,1128,29.1979,0.676565239620021,48.7243,0,1128,1,0.6057,0.1832,0.1823,4.195,0.1713,0.7997,11.553,502.0335,211357.4255,406.9383,0.5016,4786.80555512358,2942.24117243705,1651.87890118718,1338.61673774558,4808.30320464285,4985.6171003322,5870.19584790174,3710.50952147805,3840.80491911181,4727.01750849275
"2d-40c-no5.dat",3.3375,0.301,1087.5,11.1825,0.676572506399679,40.7557,1e-04,1087.5,1,0.5517,0.1839,0.1826,3.6578,0.1641,0.7949,11.7119,354.882,238868.0035,389.9606,0.5225,4111.42282119996,4283.85137537862,1548.01125047729,1153.76350033753,3786.87697587861,3196.39247248209,4488.1503176374,3665.48807368633,3301.02806770987,3845.16604330374
"2d-40c-no6.dat",3.372,0.301,1177.5,19.842,0.67657296937206,43.2789,1e-04,1177.5,1,0.5233,0.181,0.1801,3.797,0.1721,0.7963,11.8099,459.3537,208356.1839,421.9143,0.338,5134.64572675927,3569.58325822764,1398.94344634055,725.136414752086,4484.13191814452,5131.66449300951,5382.47189680119,4017.72616127244,3426.31821692756,4705.6982349014
"2d-40c-no7.dat",3.3465,0.301,1110.5,55.2818,0.676570492687521,45.6758,3e-04,1110.5,1,0.6357,0.1836,0.1793,3.8679,0.166,0.8125,11.0894,400.0361,239180.0269,395.4708,0.5296,3492.67706507022,2233.0562795306,1180.14376536986,869.742925622903,4629.40639448149,4286.63489732085,4880.67931167579,3812.63294780945,4566.32258320069,4862.91905302983
