"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"2d-10c-no7.dat",3.4038,0.301,1267,433.0298,0.676606829488461,110.5555,0.0012,1267,1,0.6213,0.1871,0.1783,9.4512,0.176,0.8122,11.2026,811.5412,1789947.4994,480.1452,0.3143,0.56198126310632,0.556382754096568,0.510517794612023,0.238335553051781,0.483103852817958,0.43277446627967,0.527452027539257,0.492293014422718,0.573236513731791,0.536390965515393
"2d-10c-no8.dat",3.4518,0.301,1415,283.1979,0.6765869557822,203.2103,0,1415,1,0.7287,0.1897,0.1981,7.9666,0.1796,0.8237,10.9094,851.968,374042.9603,557.8069,0.5563,0.593821710266953,0.484502849100913,0.411221862733797,0.289964174922825,0.547236908891692,0.47349430428364,0.489214787334761,0.497447014069972,0.535585322377956,0.539758705234819
"2d-10c-no9.dat",3.5539,0.301,1790,92.7729,0.676543909510047,207.7096,0,1790,1,0.5454,0.1837,0.181,5.9482,0.1778,0.8237,11.6969,786.2712,483752.6732,709.113,0.5057,0.409248390392934,0.534247632265894,0.385810264500718,0.29138485698867,0.530738744562091,0.551457078325138,0.55170351594742,0.397471035800493,0.495280383053317,0.482982545059919
"2d-20c-no0.dat",3.181,0.301,758.5,109.2867,0.676589290236979,48.3451,0,758.5,1,0.6076,0.1919,0.1843,5.407,0.1696,0.7953,11.9418,359.4942,63265.7786,274.9094,0.4476,0.605836889356211,0.690568545383104,0.427187077675356,0.26225537652319,0.628073602305138,0.506901453479911,0.623134335997106,0.594334172525444,0.600450103396042,0.645885288356121
"2d-20c-no1.dat",3.0903,0.301,615.5,16.9623,0.67661191129972,34.3269,5e-04,615.5,1,0.5393,0.1772,0.1685,7.9653,0.1718,0.8335,10.1106,339.9658,134379.4632,225.6193,0.4731,0.674766821899897,0.672811761484013,0.380138780244538,0.112388120304463,0.573527459782377,0.593400322276764,0.648204173325201,0.587981183035434,0.590719782016051,0.660077407003474
"2d-20c-no2.dat",3.035,0.301,542,12.7314,0.676620765102258,30.502,0.0076,542,1,0.6636,0.16,0.1603,6.666,0.1698,0.8196,9.7654,237.2127,54553.6747,196.4464,0.6254,0.669631559916398,0.691491487077416,0.456891319404518,0.414289177955571,0.642550534155939,0.565115547590619,0.627635449716641,0.548410431980816,0.669952227878055,0.678951981414685
"2d-20c-no3.dat",3.0527,0.301,564.5,28.3108,0.676590814127261,41.529,2e-04,564.5,1,0.594,0.1852,0.1688,5.8292,0.1774,0.8023,11.3496,306.6234,54316.6481,226.4376,0.402,0.662355132519051,0.619902836334344,0.554012205422934,0.169808800485199,0.587631788640217,0.530994802872007,0.624548582238955,0.522336621955226,0.649866160129222,0.646074827908307
"2d-20c-no4.dat",3.1602,0.301,723,73.2844,0.676590439685649,43.5315,0,723,1,0.5306,0.176,0.1924,5.3679,0.1665,0.8087,10.6104,366.1558,153016.4398,272.527,0.5697,0.626856208330054,0.686489784233691,0.564756603530572,0.139722309070328,0.543073625857459,0.592158101120255,0.64396262848568,0.537575209015316,0.554458495989669,0.621643052295113
"2d-20c-no5.dat",3.0711,0.301,589,22.563,0.676619122203402,36.9157,2e-04,589,1,0.6178,0.1613,0.1585,6.0383,0.1693,0.7961,10.4215,334.9447,50877.6112,216.6572,0.4519,0.547824230428357,0.621104413130864,0.506888128408398,0.241723098928577,0.62235545725968,0.4446252267547,0.532775328344489,0.441039541583317,0.543415994875477,0.570959006883882
"2d-20c-no6.dat",3.0708,0.301,588.5,35.0776,0.676587594364794,42.0465,0,588.5,1,0.5477,0.1794,0.1856,4.8452,0.1689,0.8264,12.1353,328.4195,93985.6519,216.8923,0.5959,0.64486761969853,0.629241898369587,0.410214221048366,0.307899952114095,0.615707530275404,0.539589351776082,0.616865203868288,0.504351294814302,0.620302666613929,0.627394352896517
"2d-20c-no7.dat",3.0924,0.301,618.5,8.3438,0.676598778993801,29.7017,3e-04,618.5,1,0.531,0.1728,0.1841,5.8052,0.1684,0.8024,10.9405,360.3106,43025.5495,224.5993,0.4868,0.565379515801583,0.64994622391178,0.442057234474238,0.184061710059408,0.568372534501872,0.53548869761796,0.562880213375122,0.522026873100972,0.585796409596813,0.573840348172702
"2d-20c-no8.dat",3.0615,0.301,576,66.1007,0.67662274107999,31.0349,1e-04,576,1,0.5888,0.1674,0.1856,5.4978,0.1656,0.808,11.0772,379.065,39722.1823,206.5055,0.4662,0.621040918950696,0.553423716029198,0.321702575934669,0.205708286835774,0.60972640922687,0.523169364749053,0.61035220000187,0.567126792308039,0.614836732747542,0.633343463956156
"2d-20c-no9.dat",3.0813,0.301,603,9.4145,0.676587537037493,34.5385,0,603,1,0.5284,0.1685,0.1877,5.9775,0.1823,0.8039,12.1324,339.9301,67359.1727,240.4955,0.63,0.605177388894947,0.613114423773634,0.448016862203381,0.170769141545202,0.583014136968935,0.507369743197838,0.622673343733446,0.360268160116346,0.654126713748842,0.620743363946726
"2d-40c-no0.dat",3.4087,0.301,1281.5,87.4862,0.676579746329842,57.0217,0,1281.5,1,0.5829,0.19,0.1779,4.5356,0.1653,0.7953,11.5157,485.8677,237926.468,447.1276,0.4407,0.765249926086557,0.784443780975556,0.434676970458904,0.32623149534531,0.753278310885073,0.738388786739445,0.760243059583581,0.73857759910472,0.771147536095254,0.768670477868806
"2d-40c-no1.dat",3.3454,0.301,1107.5,10.2397,0.676567884658153,51.3575,0,1107.5,1,0.5352,0.1831,0.1762,3.9068,0.1649,0.8076,11.3362,477.8564,156958.8793,388.9589,0.5315,0.695404912359119,0.683965906059674,0.47764735905093,0.295184492174891,0.715057059242563,0.655788639451749,0.692601043534735,0.635420965940264,0.709569156418147,0.711089584649619
"2d-40c-no2.dat",3.3316,0.301,1073,67.4691,0.676580980680971,55.1385,0,1073,1,0.6202,0.1842,0.1782,3.7844,0.1703,0.8,11.5558,456.5295,215759.5738,395.8293,0.4992,0.706695531526417,0.638152412094149,0.526868509586855,0.464218313546964,0.655185253295652,0.698805529094302,0.779169093487699,0.635672477576197,0.727850862921812,0.698208611681343
"2d-40c-no3.dat",3.3591,0.301,1143,47.9331,0.676569018142258,44.9449,0,1143,1,0.5157,0.1808,0.177,4.2134,0.1674,0.8099,11.3815,488.3165,211404.1781,414.9983,0.5017,0.752110087892387,0.718527806033063,0.455324348123012,0.483626959529584,0.735138812055719,0.68612551623712,0.738784306378811,0.653318415654098,0.732100607950778,0.744974421560565
"2d-40c-no4.dat",3.3533,0.301,1128,29.1979,0.676565239620021,48.7243,0,1128,1,0.6057,0.1832,0.1823,4.195,0.1713,0.7997,11.553,502.0335,211357.4255,406.9383,0.5016,0.705160677122296,0.666539579789822,0.504890095861444,0.1845277419151,0.748583147438614,0.624185176263357,0.706196707723675,0.635197725091259,0.676459119048992,0.720106078198876
"2d-40c-no5.dat",3.3375,0.301,1087.5,11.1825,0.676572506399679,40.7557,1e-04,1087.5,1,0.5517,0.1839,0.1826,3.6578,0.1641,0.7949,11.7119,354.882,238868.0035,389.9606,0.5225,0.733168485297163,0.832520662127004,0.435708733726288,0.00531227228340902,0.714211039181812,0.66645869139468,0.763667340665203,0.759191823263131,0.790087723939929,0.780626711053487
"2d-40c-no6.dat",3.372,0.301,1177.5,19.842,0.67657296937206,43.2789,1e-04,1177.5,1,0.5233,0.181,0.1801,3.797,0.1721,0.7963,11.8099,459.3537,208356.1839,421.9143,0.338,0.778194854569392,0.762203120148516,0.461073165710702,0.515923137958561,0.75300438794848,0.702672361942502,0.753498997317562,0.710471410452977,0.805818330554652,0.773629586147975
"2d-40c-no7.dat",3.3465,0.301,1110.5,55.2818,0.676570492687521,45.6758,3e-04,1110.5,1,0.6357,0.1836,0.1793,3.8679,0.166,0.8125,11.0894,400.0361,239180.0269,395.4708,0.5296,0.785569749927301,0.61629771953544,0.44376919992615,0.520463018216867,0.778699553848473,0.688200400507768,0.713058419064225,0.71405329878145,0.728758673392605,0.757867514680118
"2d-40c-no8.dat",3.3206,0.301,1046,35.135,0.676568969522901,47.979,0,1046,1,0.5161,0.184,0.1774,3.6129,0.1705,0.7945,11.7089,335.7932,160209.5563,383.4992,0.5556,0.757532409365128,0.843616952128737,0.455715523715963,0.471258647093173,0.80794738483262,0.772556781356001,0.791184009727618,0.764063163979838,0.787661790689703,0.771286375630668
"2d-40c-no9.dat",3.3751,0.301,1186,89.0426,0.676591388125934,32.2708,7e-04,1186,1,0.5491,0.1777,0.1776,3.296,0.1681,0.801,10.28,471.2608,450450.453,423.9067,0.4981,0.742052215958027,0.752002332856325,0.506014534080259,0.483680404143089,0.701834150296268,0.637526800344648,0.728787984575661,0.623256456887916,0.782147204816156,0.749119943221173
