"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"2d-20c-no3.dat",3.0527,0.301,564.5,28.3108,0.676590814127261,41.529,2e-04,564.5,1,0.594,0.1852,0.1688,5.8292,0.1774,0.8023,11.3496,306.6234,54316.6481,226.4376,0.402,0.0135454142537074,0.0270859175050766,0.00599966976055902,0.121159834997806,0.0598177785212032,0.0807211026555274,0.0556821743809953,0.0936653933371947,0.00302409764355412,0.0152336789691592
"2d-20c-no4.dat",3.1602,0.301,723,73.2844,0.676590439685649,43.5315,0,723,1,0.5306,0.176,0.1924,5.3679,0.1665,0.8087,10.6104,366.1558,153016.4398,272.527,0.5697,0.0113259280585778,0.00895906269450755,0.01483034807314,0.115326390951525,0.0283715649478469,0.0432552957512946,0.0331568720172869,0.0517913452157993,0.0124538066606897,0.0048922547156129
"2d-20c-no5.dat",3.0711,0.301,589,22.563,0.676619122203402,36.9157,2e-04,589,1,0.6178,0.1613,0.1585,6.0383,0.1693,0.7961,10.4215,334.9447,50877.6112,216.6572,0.4519,0.0454935759564692,0.00474964213404232,0.0122473570205475,0.0873336882385996,0.0728040301932995,0.0746911828679554,0.0679203446996885,0.0618234250599854,0.00497804680301861,0.0169907046556316
"2d-20c-no6.dat",3.0708,0.301,588.5,35.0776,0.676587594364794,42.0465,0,588.5,1,0.5477,0.1794,0.1856,4.8452,0.1689,0.8264,12.1353,328.4195,93985.6519,216.8923,0.5959,0.0233667199921385,0.0132316315638233,0.0250230803963299,0.0855981947865869,0.0235448867927011,0.0534738638338447,0.0277754328882781,0.0590069980763676,0.0111980174256796,0.0304599088321165
"2d-20c-no7.dat",3.0924,0.301,618.5,8.3438,0.676598778993801,29.7017,3e-04,618.5,1,0.531,0.1728,0.1841,5.8052,0.1684,0.8024,10.9405,360.3106,43025.5495,224.5993,0.4868,0.0242348365072394,0.00529720970039504,0.0032230716748358,0.0951844216128434,0.0253466476175244,0.0556280828335066,0.0493624503295464,0.0957699718584017,0.0160102968631145,0.0251519765537458
"2d-20c-no8.dat",3.0615,0.301,576,66.1007,0.67662274107999,31.0349,1e-04,576,1,0.5888,0.1674,0.1856,5.4978,0.1656,0.808,11.0772,379.065,39722.1823,206.5055,0.4662,0.00827071124485158,0.0152907847990827,0.0137283203412187,0.118172775905944,0.0535265568078935,0.0655941912754584,0.0910885691005231,0.0632035875219189,0.00132925210766549,0.00826070221469559
"2d-20c-no9.dat",3.0813,0.301,603,9.4145,0.676587537037493,34.5385,0,603,1,0.5284,0.1685,0.1877,5.9775,0.1823,0.8039,12.1324,339.9301,67359.1727,240.4955,0.63,0.0220259884815014,0.0242945980652645,0.00702655031814511,0.135603324249558,0.0370053284854331,0.0792196357260448,0.0370053284854331,0.0792196357260448,0.00394774022509028,0.0178691008339088
"2d-40c-no0.dat",3.4087,0.301,1281.5,87.4862,0.676579746329842,57.0217,0,1281.5,1,0.5829,0.19,0.1779,4.5356,0.1653,0.7953,11.5157,485.8677,237926.468,447.1276,0.4407,0.00985388107468043,0.00378746335711187,0.00138577820091673,0.0596695151408789,0.0186442644244558,0.0442074405523537,0.0291176395995928,0.0316325352124186,0.00734574831896972,0.00551697928375605
"2d-40c-no1.dat",3.3454,0.301,1107.5,10.2397,0.676567884658153,51.3575,0,1107.5,1,0.5352,0.1831,0.1762,3.9068,0.1649,0.8076,11.3362,477.8564,156958.8793,388.9589,0.5315,0.00730202509725678,0.00687531093836542,0.00473125175473919,0.0681703299180681,0.0251333662630135,0.0381706025603882,0.0229980528508584,0.0274227169695776,0.00564485159222589,0.00718367966591639
"2d-40c-no2.dat",3.3316,0.301,1073,67.4691,0.676580980680971,55.1385,0,1073,1,0.6202,0.1842,0.1782,3.7844,0.1703,0.8,11.5558,456.5295,215759.5738,395.8293,0.4992,0.00905413234742093,0.00399777792023455,0.0102515596801952,0.0536578130602784,0.0150719844980024,0.0645814976575846,0.0211604376066254,0.0439729784781922,0.00406072548377931,0.00489218592306257
