instances;feature_number_ex;feature_number_ftr;feature_ratio_ftr_ex;feature_skewness;feature_kurtosis;feature_multi_norm;feature_perc_out;feature_avg_pca;feature_ratio_pca;feature_avg_abs_cor;feature_low_dist;feature_high_dist;feature_eigen_cent_mst;feature_net_dens;feature_clust_coef;feature_intr_dim;feature_contrast;feature_hub_score;feature_avg_nnd;feature_power_cent;algo_kmeans;algo_kmedians;algo_kmedoids;algo_single;algo_complete;algo_average;algo_ward;algo_closest;algo_mbkmeans;algo_fcmeans
10d-20c-no9.dat;0.658799293702178;0.258000221459418;0.00720288115246098;4.0232764846879e-05;0.0068258507960687;0.00199105827038689;0.244744744744745;0.0578607746212245;0.8998998998999;0.24949910365918;0.404053198226726;0.406122448979592;1.09362348307382e-07;0.381518755718207;0.423391291425175;6.77589672101533e-06;7.83034730904962e-09;5.14931567254129e-12;0.00431044332243448;0.5793724759242;0.272727272727273;0.245283018867925;0.39766081871345;0.73134328358209;0.88;0.923076923076923;0.942446043165468;0.58974358974359;0.283582089552239;0.386666666666667
10d-40c-no0.dat;0.757563272513243;0.258000221459418;0.00480192076830732;3.62732955563919e-05;0.00528608650746948;0.0025032721178735;0.174174174174174;0.0854791872645655;0.8998998998999;0.177686386164716;0.418619379354022;0.404373177842566;1.18252764708192e-07;0.387923147301006;0.319958389062268;8.30043347026136e-06;8.09742138834706e-09;1.44079890053885e-11;0.0062751453645423;0.5237651444548;0.440559440559441;0.622641509433962;0.175438596491228;0.597014925373134;0.986666666666667;0.853846153846154;0.848920863309353;0.653846153846154;0.253731343283582;0.2
10d-40c-no1.dat;0.800235432607416;0.258000221459418;0.0040016006402561;3.56812523091818e-05;0.00493078498275054;0.00234333501051605;0.151651651651652;0.101134064057826;0.8998998998999;0.177791838025941;0.434768841038632;0.419241982507289;1.03144812769295e-07;0.381518755718207;0.331698617922425;8.20650825888942e-06;8.1475688635539e-09;1.84687954131966e-11;0.0072608541740489;0.492699596147872;0.510489510489511;0.610062893081761;0.257309941520468;0.492537313432836;1;0.938461538461538;0.928057553956835;0.397435897435897;0.358208955223881;0.16
10d-40c-no2.dat;0.823013537374926;0.258000221459418;0.00360144057623049;4.37970307710358e-05;0.0043847644822326;0.0025903706922161;0.144644644644645;0.110607059514437;0.8998998998999;0.158915954866603;0.437302089930336;0.425947521865889;1.07982598600071e-07;0.37419945105215;0.314162579878139;8.18373595801569e-06;8.18530871602915e-09;2.18351941866232e-11;0.00790948482014646;0.503572538055297;0.440559440559441;0.559748427672956;0.327485380116959;0.716417910447761;0.826666666666667;0.907692307692308;0.971223021582734;0.384615384615385;0.402985074626866;0.133333333333333
10d-40c-no3.dat;0.797881106533255;0.258000221459418;0.0040016006402561;4.03466190654526e-05;0.0065673776217768;0.00199513605617753;0.139139139139139;0.100200121416946;0.8998998998999;0.173468311715702;0.440468651044965;0.430612244897959;9.91891390944488e-08;0.448307410795974;0.333927775300936;7.57740589769882e-06;7.86570903383464e-09;1.93525276540689e-11;0.00783088986067324;0.258776017396707;0.426573426573427;0.622641509433962;0.362573099415205;0.462686567164179;0.873333333333333;0.753846153846154;0.79136690647482;0.602564102564103;0.373134328358209;0.32
10d-40c-no4.dat;0.843143025309005;0.258000221459418;0.00330132052821128;4.01105013140437e-05;0.00519301191683505;0.0024032076497894;0.133133133133133;0.119724257768169;0.8998998998999;0.170832015185068;0.432552248258391;0.439650145772595;9.36421987968537e-08;0.437328453796889;0.292465448060633;7.93214555625409e-06;8.07146877746682e-09;2.91447220509159e-11;0.00948362740160608;0.568188878533706;0.524475524475525;0.584905660377358;0.269005847953216;0.716417910447761;0.906666666666667;0.953846153846154;0.899280575539568;0.230769230769231;0.298507462686567;0.293333333333333
10d-40c-no5.dat;0.807533843437316;0.258000221459418;0.0038015206082433;3.46257804304507e-05;0.00425207723391083;0.00246896499789835;0.157157157157157;0.104069380974908;0.8998998998999;0.186333438785195;0.412602913236225;0.420408163265306;1.05978636489737e-07;0.326623970722781;0.318620894635161;8.4513315527465e-06;8.1172735847176e-09;1.82911321487081e-11;0.00720316023110364;0.608574091332712;0.454545454545455;0.69811320754717;0.152046783625731;0.626865671641791;0.946666666666667;0.984615384615385;0.884892086330935;0.423076923076923;0.358208955223881;0.146666666666667
10d-40c-no6.dat;0.838846380223661;0.258000221459418;0.00340136054421769;4.24348223420725e-05;0.00459122127082675;0.00232255539549907;0.151651651651652;0.117722923518651;0.8998998998999;0.196245913740378;0.417036098796707;0.433819241982507;1.01104806164785e-07;0.371454711802379;0.329172239560113;7.88731697629735e-06;8.21622437600203e-09;2.47397432038293e-11;0.00853452659683389;0.547996272134203;0.622377622377622;0.610062893081761;0.269005847953216;0.626865671641791;0.946666666666667;0.984615384615385;0.884892086330935;0.371794871794872;0.313432835820896;0.04
10d-40c-no7.dat;0.785462036492054;0.258000221459418;0.00420168067226891;3.73749217317308e-05;0.00579139853222396;0.00215319298685307;0.153153153153153;0.0953969192181043;0.8998998998999;0.186333438785195;0.443001899936669;0.414577259475219;1.08849622363089e-07;0.425434583714547;0.315945905780948;7.77059138476576e-06;8.15697797745869e-09;1.71179566432534e-11;0.0072891699012132;0.561043802423113;0.496503496503497;0.635220125786164;0.269005847953216;0.507462686567164;0.84;0.907692307692308;0.956834532374101;0.333333333333333;0.402985074626866;0.306666666666667
10d-40c-no8.dat;0.802177751618599;0.258000221459418;0.0039015606242497;4.11849385200686e-05;0.00516538331215024;0.00222481062591863;0.153653653653654;0.101890128110609;0.8998998998999;0.182326268058631;0.424319189360355;0.426239067055394;1.15218041830286e-07;0.397987191216834;0.298707088720464;7.85944828503078e-06;8.0388987677964e-09;1.95223683834957e-11;0.00769804309694876;0.580925753339547;0.524475524475525;0.622641509433962;0.292397660818713;0.716417910447761;0.893333333333333;0.892307692307692;0.956834532374101;0.256410256410256;0.313432835820896;0.2
10d-40c-no9.dat;0.809064155385521;0.258000221459418;0.0038015206082433;4.92985063900574e-05;0.00678756710923961;0.00255838327074461;0.132132132132132;0.104691996059933;0.8998998998999;0.170093852156491;0.448701709943002;0.432944606413994;9.96348055146918e-08;0.46843549862763;0.344479120225888;7.6610119714985e-06;8.25706613416017e-09;2.23144042718383e-11;0.00806077346644031;0.526250388319354;0.468531468531469;0.547169811320755;0.233918128654971;0.597014925373134;0.933333333333333;1;0.870503597122302;0.5;0.328358208955224;0.186666666666667
10d-4c-no0.dat;0.653502060035315;0.258000221459418;0.00740296118447379;1.75517870432157e-05;0.0111505784368976;0.000544469865626947;0.0035035035035035;0.056659974071514;0.8998998998999;0.329431614467995;0.61589613679544;0.469096209912536;1.65519111404836e-07;0.416285452881976;0.482835488185466;6.02397556325048e-06;6.34505147122233e-09;6.0288449060515e-12;0.00399828416685644;0.578440509474992;0.454545454545455;0.823899371069182;0.152046783625731;0.507462686567164;0.8;0.507692307692308;0.913669064748202;0.448717948717949;0.447761194029851;0.546666666666667
10d-4c-no1.dat;0.577633902295468;0.258000221459418;0.0100040016006403;1.56053259558637e-05;0.0128798493068286;0.000448629690607404;0.0015015015015015;0.0419390399191333;0.8998998998999;0.288938099757461;0.61589613679544;0.46064139941691;1.78487026282515e-07;0.389752973467521;0.545251894783772;6.64468221795373e-06;6.25923208066218e-09;3.29076197575913e-12;0.00282308578445659;0.692451071761417;0.727272727272727;0.207547169811321;0.52046783625731;0.634328358208955;0.666666666666667;0.430769230769231;0.856115107913669;0.532051282051282;0.432835820895522;0.586666666666667
10d-4c-no2.dat;0.543378457916421;0.258000221459418;0.0115046018407363;9.63830176519736e-06;0.00980869091450938;0.000305589755508173;0.0195195195195195;0.036602161929315;0.8998998998999;0.298745122851418;0.54718176060798;0.449271137026239;1.80400737450067e-07;0.388838060384263;0.516718680338832;7.62369460052293e-06;5.73335567055501e-09;2.84822310363202e-12;0.00243936518183569;0.312830071450761;0.825174825174825;0.817610062893082;0.315789473684211;0.582089552238806;0.08;0.446153846153846;0.899280575539568;0.5;0.432835820895522;0.693333333333333
10d-4c-no3.dat;0.659152442613302;0.258000221459418;0.00720288115246098;1.78939247367907e-05;0.00997546509958153;0.000464354804674305;0.0105105105105105;0.057949713915273;0.8998998998999;0.24971000738163;0.549715009499683;0.459475218658892;1.43461557456984e-07;0.37419945105215;0.509882597711398;6.76378050914478e-06;5.95214341805536e-09;5.2797997944441e-12;0.00394623033523967;0.238894066480273;0.706293706293706;0.861635220125786;0.374269005847953;0.641791044776119;0.133333333333333;0.538461538461538;0.884892086330935;0.5;0.373134328358209;0.573333333333333
10d-4c-no4.dat;0.570865214832254;0.258000221459418;0.0103041216486595;1.43792234714449e-05;0.0110004280451927;0.000298069048780525;0.0025025025025025;0.0408272186901564;0.8998998998999;0.329220710745545;0.613679544015199;0.452769679300291;1.51106902027949e-07;0.40256175663312;0.516867290830733;6.81877379060127e-06;5.59335632740024e-09;2.82569644687959e-12;0.00276168367513314;0.581236408822616;0.314685314685315;0.861635220125786;0.47953216374269;0.537313432835821;0.52;0.646153846153846;0.913669064748202;0.58974358974359;0.283582089552239;0.4
10d-4c-no5.dat;0.621836374337846;0.258000221459418;0.00840336134453782;1.66759099167798e-05;0.0112453550428417;0.000556459044209009;0.0015015015015015;0.0499888865909124;0.8998998998999;0.293577981651376;0.615262824572514;0.481924198250729;1.80127190474883e-07;0.445562671546203;0.474216079655224;6.22825236825223e-06;6.01232038830356e-09;4.15323243848968e-12;0.00357585329194814;0.41223982603293;0.818181818181818;0.761006289308176;0.198830409356725;0.552238805970149;0.306666666666667;0.553846153846154;0.870503597122302;0.58974358974359;0.462686567164179;0.506666666666667
10d-4c-no6.dat;0.582636845203061;0.258000221459418;0.00980392156862745;1.36081228292508e-05;0.00999481678050001;0.000437470719910861;0.01001001001001;0.0427840832926495;0.8998998998999;0.275967520826743;0.58264724509183;0.448104956268222;1.61958809507196e-07;0.407136322049405;0.477782731460841;6.75639565695022e-06;5.63006221131453e-09;3.26887739831028e-12;0.00293600967002846;0.361913637775707;0.510489510489511;0.849056603773585;0.210526315789474;0.544776119402985;0.346666666666667;0.630769230769231;1;0.57051282051282;0.417910447761194;0.533333333333333
10d-4c-no7.dat;0.689111241907004;0.258000221459418;0.00630252100840336;1.86479205967711e-05;0.0089510850359257;0.000437910241732607;0.00800800800800801;0.0734823091858881;0.7997997997998;0.328166192133291;0.604813172894237;0.429154518950437;1.33599616201513e-07;0.313815187557182;0.644375092881557;7.05007690829225e-06;7.46783793157503e-09;6.70669450078862e-12;0.00427269172308212;0.611059335197266;0.699300699300699;0.861635220125786;0.245614035087719;0.373134328358209;0.386666666666667;0.607692307692308;0.906474820143885;0.5;0.134328358208955;0.846666666666667
10d-4c-no8.dat;0.579752795762213;0.258000221459418;0.0100040016006403;1.21414044103219e-05;0.0094077380750454;0.000396424265335612;0.00750750750750751;0.0422948371220125;0.8998998998999;0.240324791732574;0.577580747308423;0.447230320699708;1.64414026331444e-07;0.358645928636779;0.546440778718977;6.89583739078371e-06;5.46317968557466e-09;3.26901528619432e-12;0.00280282063897861;0.438645542093818;0.426573426573427;0.773584905660377;0.269005847953216;0.537313432835821;0.4;0.569230769230769;0.884892086330935;0.602564102564103;0.358208955223881;0.76
10d-4c-no9.dat;0.631547969393761;0.258000221459418;0.00810324129651861;1.14297314456336e-05;0.00852674697241203;0.000288277479307191;0.00750750750750751;0.0519457111667206;0.8998998998999;0.275756617104292;0.561747941735275;0.459183673469388;1.72613170805181e-07;0.357731015553522;0.547183831178481;7.95095867781438e-06;5.16539674001653e-09;5.28087036135251e-12;0.0034797118601596;0.558869214041628;0.706293706293706;0.823899371069182;0.315789473684211;0.544776119402985;0.24;0.569230769230769;0.798561151079137;0.608974358974359;0.358208955223881;0.613333333333333
2d-10c-no0.dat;0.866980576809888;0;0.000300120048019208;1.48278944363245e-07;0.00440071213253169;0.0229912399882423;0.005005005005005;0.594129414197857;1;0.550880523041232;0.483217226092464;0.525072886297376;1.60501382517862e-08;0.202195791399817;0.726705305394561;1.5171097781226e-06;3.85048237753942e-07;1.03980600555795e-12;0.00890301062605572;0.435228331780056;0.300699300699301;0.572327044025157;0.327485380116959;0.313432835820896;0.386666666666667;0.846153846153846;0.798561151079137;1;0.626865671641791;0.426666666666667
